,Name,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,ID
2813,LW,https://cdn.sofifa.net/players/208/790/21_60.png,,https://cdn.sofifa.net/flags/be.png,67,70,K Beerschot VA,https://cdn.sofifa.net/teams/675/30.png,€1.4M,€7K,1649,208790
2814,ST,https://cdn.sofifa.net/players/208/813/22_60.png,,https://cdn.sofifa.net/flags/gb-wls.png,60,61,Barrow,https://cdn.sofifa.net/teams/381/30.png,€300K,€2K,1676,208813
2815,LB,https://cdn.sofifa.net/players/208/892/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,72,72,Norwich City,https://cdn.sofifa.net/teams/1792/30.png,€2.3M,€22K,1875,208892
2816,ST,https://cdn.sofifa.net/players/208/989/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,67,67,Rotherham United,https://cdn.sofifa.net/teams/1797/30.png,€1M,€5K,1620,208989
2817,LM,https://cdn.sofifa.net/players/209/317/22_60.png,,https://cdn.sofifa.net/flags/gr.png,65,65,SG Dynamo Dresden,https://cdn.sofifa.net/teams/503/30.png,€700K,€5K,1684,209317
2818,LB,https://cdn.sofifa.net/players/209/620/22_60.png,,https://cdn.sofifa.net/flags/gh.png,71,72,Reading,https://cdn.sofifa.net/teams/1793/30.png,€2M,€47K,1853,209620
2819,RB,https://cdn.sofifa.net/players/209/660/22_60.png,,https://cdn.sofifa.net/flags/cl.png,68,68,Unión Española,https://cdn.sofifa.net/teams/110977/30.png,€1.1M,€3K,1774,209660
2820,CB,https://cdn.sofifa.net/players/197/890/22_60.png,,https://cdn.sofifa.net/flags/es.png,70,70,Fútbol Club Juárez,https://cdn.sofifa.net/teams/113134/30.png,€1M,€6K,1630,197890
2821,GK,https://cdn.sofifa.net/players/198/009/22_60.png,,https://cdn.sofifa.net/flags/it.png,80,81,Juventus,https://cdn.sofifa.net/teams/45/30.png,€16.5M,€64K,1268,198009
2822,CB,https://cdn.sofifa.net/players/198/032/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,77,77,Newcastle United,https://cdn.sofifa.net/teams/13/30.png,€9M,€38K,1656,198032
2823,GK,https://cdn.sofifa.net/players/198/039/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,67,68,Newcastle United,https://cdn.sofifa.net/teams/13/30.png,€775K,€10K,1125,198039
2824,CDM,https://cdn.sofifa.net/players/198/118/22_60.png,,https://cdn.sofifa.net/flags/fr.png,77,77,FC Girondins de Bordeaux,https://cdn.sofifa.net/teams/59/30.png,€9M,€50K,1931,198118
2825,CM,https://cdn.sofifa.net/players/198/133/22_60.png,,https://cdn.sofifa.net/flags/cw.png,68,68,Cardiff City,https://cdn.sofifa.net/teams/1961/30.png,€1.2M,€14K,2014,198133
2826,CDM,https://cdn.sofifa.net/players/198/200/22_60.png,,https://cdn.sofifa.net/flags/fr.png,73,73,Adana Demirspor,https://cdn.sofifa.net/teams/101016/30.png,€2.5M,€14K,1815,198200
2827,ST,https://cdn.sofifa.net/players/198/420/22_60.png,,https://cdn.sofifa.net/flags/gh.png,70,70,RC Strasbourg Alsace,https://cdn.sofifa.net/teams/76/30.png,€1.6M,€15K,1812,198420
2828,LM,https://cdn.sofifa.net/players/198/719/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,76,76,Southampton,https://cdn.sofifa.net/teams/17/30.png,€8M,€49K,1796,198719
2829,LWB,https://cdn.sofifa.net/players/198/740/22_60.png,,https://cdn.sofifa.net/flags/mx.png,66,66,Fútbol Club Juárez,https://cdn.sofifa.net/teams/113134/30.png,€450K,€3K,1832,198740
2830,CAM,https://cdn.sofifa.net/players/198/898/15_60.png,,https://cdn.sofifa.net/flags/br.png,61,64,Crotone,https://cdn.sofifa.net/teams/110734/30.png,€230K,€4K,1687,198898
2831,CB,https://cdn.sofifa.net/players/198/904/22_60.png,,https://cdn.sofifa.net/flags/gb-sct.png,74,74,Norwich City,https://cdn.sofifa.net/teams/1792/30.png,€3.5M,€29K,1552,198904
2832,CB,https://cdn.sofifa.net/players/198/946/22_60.png,,https://cdn.sofifa.net/flags/it.png,78,78,Inter,https://cdn.sofifa.net/teams/44/30.png,€9M,€77K,2025,198946
2833,RW,https://cdn.sofifa.net/players/198/950/22_60.png,,https://cdn.sofifa.net/flags/es.png,81,81,Sporting CP,https://cdn.sofifa.net/teams/237/30.png,€25.5M,€100K,2036,198950
2834,CAM,https://cdn.sofifa.net/players/199/189/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,76,76,Chelsea,https://cdn.sofifa.net/teams/5/30.png,€8M,€81K,1976,199189
2835,CB,https://cdn.sofifa.net/players/199/206/22_60.png,,https://cdn.sofifa.net/flags/hr.png,77,77,Beşiktaş JK,https://cdn.sofifa.net/teams/327/30.png,€7M,€39K,1806,199206
2836,LB,https://cdn.sofifa.net/players/199/491/22_60.png,,https://cdn.sofifa.net/flags/es.png,67,67,Burgos CF,https://cdn.sofifa.net/teams/10846/30.png,€925K,€3K,1709,199491
2837,CDM,https://cdn.sofifa.net/players/199/511/21_60.png,,https://cdn.sofifa.net/flags/nc.png,69,69,Dijon FCO,https://cdn.sofifa.net/teams/110569/30.png,€925K,€7K,1599,199511
2838,CM,https://cdn.sofifa.net/players/199/524/16_60.png,,https://cdn.sofifa.net/flags/ng.png,64,66,Modena,https://cdn.sofifa.net/teams/1744/30.png,€525K,€5K,1785,199524
2839,GK,https://cdn.sofifa.net/players/199/575/22_60.png,,https://cdn.sofifa.net/flags/es.png,75,75,Real Valladolid CF,https://cdn.sofifa.net/teams/462/30.png,€2.8M,€9K,1333,199575
2840,CB,https://cdn.sofifa.net/players/199/580/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,75,76,Rangers FC,https://cdn.sofifa.net/teams/86/30.png,€5.5M,€44K,1808,199580
2841,LM,https://cdn.sofifa.net/players/199/715/22_60.png,,https://cdn.sofifa.net/flags/es.png,77,77,Getafe CF,https://cdn.sofifa.net/teams/1860/30.png,€8.5M,€47K,1955,199715
2842,RB,https://cdn.sofifa.net/players/199/763/22_60.png,,https://cdn.sofifa.net/flags/pl.png,73,73,U.C. Sampdoria,https://cdn.sofifa.net/teams/1837/30.png,€2.8M,€15K,1903,199763
2843,CB,https://cdn.sofifa.net/players/199/813/22_60.png,,https://cdn.sofifa.net/flags/at.png,78,78,Feyenoord,https://cdn.sofifa.net/teams/246/30.png,€12M,€13K,1960,199813
2844,GK,https://cdn.sofifa.net/players/199/833/22_60.png,,https://cdn.sofifa.net/flags/de.png,76,76,FC Twente,https://cdn.sofifa.net/teams/1908/30.png,€5M,€9K,1096,199833
2845,GK,https://cdn.sofifa.net/players/199/904/22_60.png,,https://cdn.sofifa.net/flags/fi.png,72,73,,https://cdn.sofifa.net/flags/fi.png,€0,€0,1139,199904
2846,CB,https://cdn.sofifa.net/players/199/915/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,79,79,Brighton & Hove Albion,https://cdn.sofifa.net/teams/1808/30.png,€14.5M,€61K,1788,199915
2847,CB,https://cdn.sofifa.net/players/199/986/22_60.png,,https://cdn.sofifa.net/flags/es.png,75,75,SD Eibar,https://cdn.sofifa.net/teams/467/30.png,€1.8M,€11K,1980,199986
2848,GK,https://cdn.sofifa.net/players/200/159/22_60.png,,https://cdn.sofifa.net/flags/de.png,79,80,DSC Arminia Bielefeld,https://cdn.sofifa.net/teams/159/30.png,€14M,€24K,1393,200159
2849,CAM,https://cdn.sofifa.net/players/200/206/21_60.png,,https://cdn.sofifa.net/flags/br.png,72,72,Shakhtar Donetsk,https://cdn.sofifa.net/teams/101059/30.png,€2.3M,€800,1941,200206
2850,CM,https://cdn.sofifa.net/players/200/223/22_60.png,,https://cdn.sofifa.net/flags/nl.png,75,75,FC Utrecht,https://cdn.sofifa.net/teams/1903/30.png,€6M,€16K,2046,200223
2851,CB,https://cdn.sofifa.net/players/200/228/22_60.png,,https://cdn.sofifa.net/flags/es.png,68,68,CD Leganés,https://cdn.sofifa.net/teams/100888/30.png,€825K,€5K,1384,200228
2852,ST,https://cdn.sofifa.net/players/200/454/22_60.png,,https://cdn.sofifa.net/flags/es.png,80,80,Villarreal CF,https://cdn.sofifa.net/teams/483/30.png,€23M,€42K,1957,200454
2853,RW,https://cdn.sofifa.net/players/200/630/22_60.png,,https://cdn.sofifa.net/flags/gb-sct.png,73,73,Celtic,https://cdn.sofifa.net/teams/78/30.png,€3M,€44K,1897,200630
2854,LM,https://cdn.sofifa.net/players/200/641/22_60.png,,https://cdn.sofifa.net/flags/ua.png,72,72,Cracovia,https://cdn.sofifa.net/teams/110747/30.png,€1.9M,€8K,1830,200641
2855,LM,https://cdn.sofifa.net/players/200/759/22_60.png,,https://cdn.sofifa.net/flags/gh.png,76,76,Crystal Palace,https://cdn.sofifa.net/teams/1799/30.png,€7.5M,€51K,2052,200759
2856,CM,https://cdn.sofifa.net/players/200/765/22_60.png,,https://cdn.sofifa.net/flags/ba.png,70,70,Ferencvárosi TC,https://cdn.sofifa.net/teams/1874/30.png,€1.6M,€650,1846,200765
2857,LWB,https://cdn.sofifa.net/players/200/820/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,68,68,Wycombe Wanderers,https://cdn.sofifa.net/teams/1933/30.png,€1.2M,€4K,1921,200820
2858,CM,https://cdn.sofifa.net/players/200/952/22_60.png,,https://cdn.sofifa.net/flags/de.png,61,61,FSV Zwickau,https://cdn.sofifa.net/teams/110592/30.png,€250K,€650,1779,200952
2859,LB,https://cdn.sofifa.net/players/201/041/22_60.png,,https://cdn.sofifa.net/flags/fr.png,70,70,Yukatel Kayserispor,https://cdn.sofifa.net/teams/101020/30.png,€1.4M,€8K,1802,201041
2860,RB,https://cdn.sofifa.net/players/201/042/22_60.png,,https://cdn.sofifa.net/flags/fr.png,77,77,AS Monaco,https://cdn.sofifa.net/teams/69/30.png,€9.5M,€45K,2047,201042
2861,LW,https://cdn.sofifa.net/players/201/046/22_60.png,,https://cdn.sofifa.net/flags/it.png,76,76,Fiorentina,https://cdn.sofifa.net/teams/110374/30.png,€7.5M,€52K,1864,201046
2862,CB,https://cdn.sofifa.net/players/201/212/22_60.png,,https://cdn.sofifa.net/flags/gb-nir.png,62,62,Leyton Orient,https://cdn.sofifa.net/teams/1958/30.png,€350K,€3K,1474,201212
2863,GK,https://cdn.sofifa.net/players/201/269/22_60.png,,https://cdn.sofifa.net/flags/dk.png,74,74,1. FC Union Berlin,https://cdn.sofifa.net/teams/1831/30.png,€3M,€20K,1120,201269
2864,CM,https://cdn.sofifa.net/players/201/303/22_60.png,,https://cdn.sofifa.net/flags/dk.png,75,75,F.C. København,https://cdn.sofifa.net/teams/819/30.png,€5.5M,€21K,2029,201303
2865,CB,https://cdn.sofifa.net/players/201/305/22_60.png,,https://cdn.sofifa.net/flags/br.png,82,82,Valencia CF,https://cdn.sofifa.net/teams/461/30.png,€25M,€44K,1976,201305
2866,CM,https://cdn.sofifa.net/players/201/869/22_60.png,,https://cdn.sofifa.net/flags/ca.png,65,65,Vancouver Whitecaps FC,https://cdn.sofifa.net/teams/101112/30.png,€725K,€2K,1713,201869
2867,RW,https://cdn.sofifa.net/players/201/884/22_60.png,,https://cdn.sofifa.net/flags/ie.png,70,70,AFC Bournemouth,https://cdn.sofifa.net/teams/1943/30.png,€1.6M,€21K,1954,201884
2868,CM,https://cdn.sofifa.net/players/201/893/22_60.png,,https://cdn.sofifa.net/flags/es.png,70,70,CD Leganés,https://cdn.sofifa.net/teams/100888/30.png,€1.5M,€7K,1891,201893
2869,LWB,https://cdn.sofifa.net/players/201/955/22_60.png,,https://cdn.sofifa.net/flags/ml.png,74,74,Racing Club de Lens,https://cdn.sofifa.net/teams/64/30.png,€3.8M,€24K,1908,201955
2870,GK,https://cdn.sofifa.net/players/201/976/22_60.png,,https://cdn.sofifa.net/flags/sn.png,77,79,Stade Rennais FC,https://cdn.sofifa.net/teams/74/30.png,€9.5M,€32K,1261,201976
2871,CDM,https://cdn.sofifa.net/players/201/991/22_60.png,,https://cdn.sofifa.net/flags/es.png,71,71,SD Ponferradina,https://cdn.sofifa.net/teams/2023/30.png,€1.6M,€6K,1769,201991
2872,CM,https://cdn.sofifa.net/players/202/024/22_60.png,,https://cdn.sofifa.net/flags/ch.png,80,80,Atalanta,https://cdn.sofifa.net/teams/39/30.png,€20.5M,€58K,2059,202024
2873,CB,https://cdn.sofifa.net/players/202/051/11_60.png,,https://cdn.sofifa.net/flags/sn.png,64,72,RSC Anderlecht,https://cdn.sofifa.net/teams/229/30.png,€0,€0,1586,202051
2874,ST,https://cdn.sofifa.net/players/202/052/22_60.png,,https://cdn.sofifa.net/flags/cd.png,69,69,Millwall,https://cdn.sofifa.net/teams/97/30.png,€1.4M,€15K,1713,202052
2875,RB,https://cdn.sofifa.net/players/202/076/22_60.png,,https://cdn.sofifa.net/flags/pr.png,66,66,Houston Dynamo,https://cdn.sofifa.net/teams/698/30.png,€750K,€2K,1710,202076
2876,CM,https://cdn.sofifa.net/players/202/078/22_60.png,,https://cdn.sofifa.net/flags/us.png,76,76,Columbus Crew,https://cdn.sofifa.net/teams/687/30.png,€7M,€9K,2028,202078
2877,RB,https://cdn.sofifa.net/players/202/371/22_60.png,,https://cdn.sofifa.net/flags/be.png,78,78,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,€12.5M,€51K,2096,202371
2878,LB,https://cdn.sofifa.net/players/202/501/22_60.png,,https://cdn.sofifa.net/flags/es.png,72,72,Girona FC,https://cdn.sofifa.net/teams/110062/30.png,€2.3M,€9K,1860,202501
2879,ST,https://cdn.sofifa.net/players/202/515/22_60.png,,https://cdn.sofifa.net/flags/es.png,73,73,Unión Deportiva Las Palmas,https://cdn.sofifa.net/teams/472/30.png,€3.1M,€10K,1819,202515
2880,CM,https://cdn.sofifa.net/players/184/703/22_60.png,,https://cdn.sofifa.net/flags/mx.png,76,76,Club León,https://cdn.sofifa.net/teams/110781/30.png,€3M,€18K,2031,184703
2881,ST,https://cdn.sofifa.net/players/184/845/22_60.png,,https://cdn.sofifa.net/flags/br.png,68,68,Shonan Bellmare,https://cdn.sofifa.net/teams/113161/30.png,€775K,€2K,1677,184845
2882,RW,https://cdn.sofifa.net/players/185/020/22_60.png,,https://cdn.sofifa.net/flags/es.png,77,77,Fiorentina,https://cdn.sofifa.net/teams/110374/30.png,€4.9M,€53K,1952,185020
2883,RW,https://cdn.sofifa.net/players/185/068/22_60.png,,https://cdn.sofifa.net/flags/gb-sct.png,75,75,Sporting Kansas City,https://cdn.sofifa.net/teams/696/30.png,€4.7M,€10K,2035,185068
2884,CDM,https://cdn.sofifa.net/players/185/388/22_60.png,,https://cdn.sofifa.net/flags/no.png,61,61,Mjøndalen IF,https://cdn.sofifa.net/teams/112420/30.png,€60K,€600,1598,185388
2885,ST,https://cdn.sofifa.net/players/185/422/22_60.png,,https://cdn.sofifa.net/flags/no.png,74,74,Watford,https://cdn.sofifa.net/teams/1795/30.png,€4.2M,€48K,1902,185422
2886,GK,https://cdn.sofifa.net/players/185/427/22_60.png,,https://cdn.sofifa.net/flags/no.png,69,69,Reading,https://cdn.sofifa.net/teams/1793/30.png,€925K,€10K,1200,185427
2887,ST,https://cdn.sofifa.net/players/186/140/22_60.png,,https://cdn.sofifa.net/flags/it.png,72,72,Panathinaikos FC,https://cdn.sofifa.net/teams/1884/30.png,€2.3M,€750,1724,186140
2888,CDM,https://cdn.sofifa.net/players/186/351/22_60.png,,https://cdn.sofifa.net/flags/nl.png,75,75,Aytemiz Alanyaspor,https://cdn.sofifa.net/teams/113142/30.png,€3.9M,€14K,1994,186351
2889,ST,https://cdn.sofifa.net/players/186/537/22_60.png,,https://cdn.sofifa.net/flags/uy.png,76,76,Girona FC,https://cdn.sofifa.net/teams/110062/30.png,€3.6M,€14K,1994,186537
2890,CB,https://cdn.sofifa.net/players/186/695/22_60.png,,https://cdn.sofifa.net/flags/ar.png,69,69,Estudiantes de La Plata,https://cdn.sofifa.net/teams/101083/30.png,€1.1M,€6K,1485,186695
2891,ST,https://cdn.sofifa.net/players/186/883/11_60.png,,https://cdn.sofifa.net/flags/br.png,74,81,Bucaspor,https://cdn.sofifa.net/teams/112232/30.png,€0,€0,1911,186883
2892,CAM,https://cdn.sofifa.net/players/187/072/22_60.png,,https://cdn.sofifa.net/flags/de.png,80,80,Borussia Mönchengladbach,https://cdn.sofifa.net/teams/23/30.png,€16.5M,€36K,2111,187072
2893,CF,https://cdn.sofifa.net/players/187/239/15_60.png,,https://cdn.sofifa.net/flags/ar.png,64,64,Cruz Azul,https://cdn.sofifa.net/teams/1878/30.png,€500K,€9K,1649,187239
2894,ST,https://cdn.sofifa.net/players/187/491/22_60.png,,https://cdn.sofifa.net/flags/ru.png,76,76,,https://cdn.sofifa.net/flags/ru.png,€0,€0,1930,187491
2895,CDM,https://cdn.sofifa.net/players/187/550/20_60.png,,https://cdn.sofifa.net/flags/br.png,68,68,Nagoya Grampus,https://cdn.sofifa.net/teams/112092/30.png,€750K,€3K,1773,187550
2896,CDM,https://cdn.sofifa.net/players/187/936/22_60.png,,https://cdn.sofifa.net/flags/fr.png,78,78,Roma,https://cdn.sofifa.net/teams/52/30.png,€9.5M,€47K,1872,187936
2897,CDM,https://cdn.sofifa.net/players/188/005/21_60.png,,https://cdn.sofifa.net/flags/es.png,74,74,VfL Wolfsburg,https://cdn.sofifa.net/teams/175/30.png,€3.5M,€32K,1893,188005
2898,CB,https://cdn.sofifa.net/players/188/038/22_60.png,,https://cdn.sofifa.net/flags/cz.png,73,73,AC Sparta Praha,https://cdn.sofifa.net/teams/267/30.png,€2M,€850,1842,188038
2899,CDM,https://cdn.sofifa.net/players/188/041/22_60.png,,https://cdn.sofifa.net/flags/br.png,79,79,Tigres U.A.N.L.,https://cdn.sofifa.net/teams/1970/30.png,€11.5M,€49K,2084,188041
2900,CB,https://cdn.sofifa.net/players/188/177/21_60.png,,https://cdn.sofifa.net/flags/nl.png,67,67,FC Würzburger Kickers,https://cdn.sofifa.net/teams/110197/30.png,€650K,€6K,1472,188177
2901,LM,https://cdn.sofifa.net/players/188/271/22_60.png,,https://cdn.sofifa.net/flags/tg.png,69,69,Valenciennes FC,https://cdn.sofifa.net/teams/110456/30.png,€1.1M,€4K,1803,188271
2902,ST,https://cdn.sofifa.net/players/188/289/22_60.png,,https://cdn.sofifa.net/flags/fr.png,67,67,Crotone,https://cdn.sofifa.net/teams/110734/30.png,€850K,€2K,1720,188289
2903,CM,https://cdn.sofifa.net/players/188/337/22_60.png,,https://cdn.sofifa.net/flags/gh.png,71,71,Shenzhen FC,https://cdn.sofifa.net/teams/111773/30.png,€1.8M,€8K,2105,188337
2904,ST,https://cdn.sofifa.net/players/188/484/22_60.png,,https://cdn.sofifa.net/flags/uy.png,73,73,Club Atlético de San Luis,https://cdn.sofifa.net/teams/112678/30.png,€3M,€15K,1807,188484
2905,LM,https://cdn.sofifa.net/players/188/935/18_60.png,,https://cdn.sofifa.net/flags/ma.png,75,75,FC Twente,https://cdn.sofifa.net/teams/1908/30.png,€6.5M,€10K,1796,188935
2906,CAM,https://cdn.sofifa.net/players/188/988/22_60.png,,https://cdn.sofifa.net/flags/ar.png,78,78,West Ham United,https://cdn.sofifa.net/teams/19/30.png,€14M,€68K,1961,188988
2907,LM,https://cdn.sofifa.net/players/188/992/22_60.png,,https://cdn.sofifa.net/flags/py.png,73,73,Club Sol de América,https://cdn.sofifa.net/teams/112080/30.png,€1.9M,€600,1980,188992
2908,RWB,https://cdn.sofifa.net/players/189/484/22_60.png,,https://cdn.sofifa.net/flags/it.png,72,72,Roma,https://cdn.sofifa.net/teams/52/30.png,€2M,€29K,1913,189484
2909,CM,https://cdn.sofifa.net/players/189/619/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,69,69,Swansea City,https://cdn.sofifa.net/teams/1960/30.png,€1.3M,€14K,1858,189619
2910,GK,https://cdn.sofifa.net/players/189/690/22_60.png,,https://cdn.sofifa.net/flags/es.png,79,79,Crystal Palace,https://cdn.sofifa.net/teams/1799/30.png,€3M,€45K,1369,189690
2911,RB,https://cdn.sofifa.net/players/189/860/22_60.png,,https://cdn.sofifa.net/flags/es.png,74,74,Watford,https://cdn.sofifa.net/teams/1795/30.png,€3.6M,€39K,1967,189860
2912,CB,https://cdn.sofifa.net/players/190/034/22_60.png,,https://cdn.sofifa.net/flags/fr.png,73,73,AS Saint-Étienne,https://cdn.sofifa.net/teams/1819/30.png,€2.5M,€24K,1795,190034
2913,RB,https://cdn.sofifa.net/players/190/149/22_60.png,,https://cdn.sofifa.net/flags/es.png,77,77,Athletic Club de Bilbao,https://cdn.sofifa.net/teams/448/30.png,€7.5M,€25K,2049,190149
2914,CB,https://cdn.sofifa.net/players/190/180/22_60.png,,https://cdn.sofifa.net/flags/au.png,67,67,,https://cdn.sofifa.net/flags/au.png,€0,€0,1723,190180
2915,GK,https://cdn.sofifa.net/players/190/243/22_60.png,,https://cdn.sofifa.net/flags/ch.png,78,78,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,€4.6M,€39K,1226,190243
2916,CAM,https://cdn.sofifa.net/players/190/264/22_60.png,,https://cdn.sofifa.net/flags/es.png,73,73,América de Cali,https://cdn.sofifa.net/teams/101099/30.png,€2.5M,€5K,1820,190264
2917,ST,https://cdn.sofifa.net/players/190/362/22_60.png,,https://cdn.sofifa.net/flags/fi.png,75,75,Norwich City,https://cdn.sofifa.net/teams/1792/30.png,€4.8M,€35K,1831,190362
2918,ST,https://cdn.sofifa.net/players/190/451/21_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,62,62,Southend United,https://cdn.sofifa.net/teams/1954/30.png,€400K,€3K,1498,190451
2919,CF,https://cdn.sofifa.net/players/190/471/22_60.png,,https://cdn.sofifa.net/flags/za.png,68,68,Kaizer Chiefs,https://cdn.sofifa.net/teams/110929/30.png,€525K,€500,1804,190471
2920,CB,https://cdn.sofifa.net/players/190/547/22_60.png,,https://cdn.sofifa.net/flags/pl.png,72,72,Benevento,https://cdn.sofifa.net/teams/112026/30.png,€1.1M,€3K,1468,190547
2921,CAM,https://cdn.sofifa.net/players/190/593/22_60.png,,https://cdn.sofifa.net/flags/rs.png,72,72,İstanbul Başakşehir FK,https://cdn.sofifa.net/teams/101014/30.png,€2.3M,€25K,1974,190593
2922,CDM,https://cdn.sofifa.net/players/190/640/22_60.png,,https://cdn.sofifa.net/flags/is.png,72,72,FC Schalke 04,https://cdn.sofifa.net/teams/34/30.png,€2M,€9K,1888,190640
2923,CDM,https://cdn.sofifa.net/players/190/674/22_60.png,,https://cdn.sofifa.net/flags/fr.png,80,80,LOSC Lille,https://cdn.sofifa.net/teams/65/30.png,€17.5M,€40K,2108,190674
2924,GK,https://cdn.sofifa.net/players/190/778/22_60.png,,https://cdn.sofifa.net/flags/nl.png,73,73,Spezia,https://cdn.sofifa.net/teams/110741/30.png,€2M,€11K,1283,190778
2925,RW,https://cdn.sofifa.net/players/190/972/22_60.png,,https://cdn.sofifa.net/flags/ar.png,78,78,Boca Juniors,https://cdn.sofifa.net/teams/1877/30.png,€13.5M,€21K,2049,190972
2926,GK,https://cdn.sofifa.net/players/191/655/22_60.png,,https://cdn.sofifa.net/flags/kr.png,70,70,Kashiwa Reysol,https://cdn.sofifa.net/teams/101145/30.png,€1.1M,€5K,1172,191655
2927,CB,https://cdn.sofifa.net/players/192/041/22_60.png,,https://cdn.sofifa.net/flags/mx.png,76,76,RC Celta de Vigo,https://cdn.sofifa.net/teams/450/30.png,€6.5M,€22K,1696,192041
2928,CB,https://cdn.sofifa.net/players/192/366/22_60.png,,https://cdn.sofifa.net/flags/ar.png,81,81,SL Benfica,https://cdn.sofifa.net/teams/234/30.png,€12.5M,€18K,1894,192366
2929,CAM,https://cdn.sofifa.net/players/192/449/22_60.png,,https://cdn.sofifa.net/flags/de.png,69,69,SC Paderborn 07,https://cdn.sofifa.net/teams/10030/30.png,€1.3M,€8K,1917,192449
2930,CM,https://cdn.sofifa.net/players/192/495/22_60.png,,https://cdn.sofifa.net/flags/kn.png,71,71,Stoke City,https://cdn.sofifa.net/teams/1806/30.png,€1.8M,€28K,1854,192495
2931,LW,https://cdn.sofifa.net/players/192/537/22_60.png,,https://cdn.sofifa.net/flags/be.png,71,71,Standard de Liège,https://cdn.sofifa.net/teams/232/30.png,€1.8M,€12K,1838,192537
2932,CAM,https://cdn.sofifa.net/players/192/565/22_60.png,,https://cdn.sofifa.net/flags/tr.png,71,71,Trabzonspor,https://cdn.sofifa.net/teams/436/30.png,€1.8M,€17K,1794,192565
2933,RB,https://cdn.sofifa.net/players/192/567/22_60.png,,https://cdn.sofifa.net/flags/de.png,71,71,Fortuna Düsseldorf,https://cdn.sofifa.net/teams/110636/30.png,€1.6M,€15K,1838,192567
2934,CB,https://cdn.sofifa.net/players/192/594/21_60.png,,https://cdn.sofifa.net/flags/uy.png,70,70,Club Atlético Peñarol,https://cdn.sofifa.net/teams/101110/30.png,€1M,€700,1883,192594
2935,ST,https://cdn.sofifa.net/players/192/598/22_60.png,,https://cdn.sofifa.net/flags/cn.png,78,78,,https://cdn.sofifa.net/flags/cn.png,€0,€0,2099,192598
2936,CB,https://cdn.sofifa.net/players/192/641/22_60.png,,https://cdn.sofifa.net/flags/de.png,76,76,TSG Hoffenheim,https://cdn.sofifa.net/teams/10029/30.png,€6.5M,€31K,1910,192641
2937,GK,https://cdn.sofifa.net/players/192/665/22_60.png,,https://cdn.sofifa.net/flags/de.png,75,75,1. FC Union Berlin,https://cdn.sofifa.net/teams/1831/30.png,€950K,€21K,1133,192665
2938,RM,https://cdn.sofifa.net/players/192/667/22_60.png,,https://cdn.sofifa.net/flags/cm.png,75,75,CD Leganés,https://cdn.sofifa.net/teams/100888/30.png,€3.5M,€13K,1983,192667
2939,CB,https://cdn.sofifa.net/players/192/766/20_60.png,,https://cdn.sofifa.net/flags/es.png,73,76,Girona FC,https://cdn.sofifa.net/teams/110062/30.png,€4.3M,€8K,1784,192766
2940,CAM,https://cdn.sofifa.net/players/139/869/18_60.png,,https://cdn.sofifa.net/flags/nl.png,83,83,OGC Nice,https://cdn.sofifa.net/teams/72/30.png,€15.5M,€50K,1964,139869
2941,GK,https://cdn.sofifa.net/players/140/293/22_60.png,,https://cdn.sofifa.net/flags/it.png,74,74,AC Milan,https://cdn.sofifa.net/teams/47/30.png,€475K,€15K,1196,140293
2942,CAM,https://cdn.sofifa.net/players/143/601/18_60.png,,https://cdn.sofifa.net/flags/ar.png,66,66,Vancouver Whitecaps FC,https://cdn.sofifa.net/teams/101112/30.png,€220K,€2K,1688,143601
2943,LB,https://cdn.sofifa.net/players/144/429/22_60.png,,https://cdn.sofifa.net/flags/se.png,71,71,IFK Göteborg,https://cdn.sofifa.net/teams/319/30.png,€575K,€3K,1930,144429
2944,GK,https://cdn.sofifa.net/players/146/952/22_60.png,,https://cdn.sofifa.net/flags/es.png,71,71,Real Sporting de Gijón,https://cdn.sofifa.net/teams/459/30.png,€210K,€4K,1229,146952
2945,CAM,https://cdn.sofifa.net/players/147/445/17_60.png,,https://cdn.sofifa.net/flags/ru.png,69,69,Rubin Kazan,https://cdn.sofifa.net/teams/110227/30.png,€875K,€20K,1814,147445
2946,CM,https://cdn.sofifa.net/players/147/627/17_60.png,,https://cdn.sofifa.net/flags/ru.png,72,72,FC Krasnodar,https://cdn.sofifa.net/teams/112218/30.png,€1.6M,€30K,2017,147627
2947,GK,https://cdn.sofifa.net/players/148/119/22_60.png,,https://cdn.sofifa.net/flags/ru.png,80,80,PFC CSKA Moscow,https://cdn.sofifa.net/teams/315/30.png,€2.3M,€26K,1253,148119
